Date,Id,Nominal,Value,VunitRate
01.01.2020,R01035,1,"81,3069","81,3069"
10.01.2020,R01035,1,"80,2533","80,2533"
11.01.2020,R01035,1,"80,0710","80,071"
14.01.2020,R01035,1,"79,2072","79,2072"
15.01.2020,R01035,1,"79,6662","79,6662"
16.01.2020,R01035,1,"79,9548","79,9548"
17.01.2020,R01035,1,"80,3111","80,3111"
18.01.2020,R01035,1,"80,4917","80,4917"
21.01.2020,R01035,1,"79,7759","79,7759"
22.01.2020,R01035,1,"80,4674","80,4674"
23.01.2020,R01035,1,"80,6752","80,6752"
24.01.2020,R01035,1,"81,3919","81,3919"
25.01.2020,R01035,1,"81,1104","81,1104"
28.01.2020,R01035,1,"81,5194","81,5194"
29.01.2020,R01035,1,"81,7605","81,7605"
30.01.2020,R01035,1,"81,1988","81,1988"
31.01.2020,R01035,1,"81,8332","81,8332"
01.02.2020,R01035,1,"82,9640","82,964"
04.02.2020,R01035,1,"83,9766","83,9766"
05.02.2020,R01035,1,"82,2678","82,2678"
06.02.2020,R01035,1,"82,4297","82,4297"
07.02.2020,R01035,1,"81,5554","81,5554"
08.02.2020,R01035,1,"82,0756","82,0756"
11.02.2020,R01035,1,"82,1177","82,1177"
12.02.2020,R01035,1,"82,5198","82,5198"
13.02.2020,R01035,1,"81,7657","81,7657"
14.02.2020,R01035,1,"82,5485","82,5485"
15.02.2020,R01035,1,"82,7816","82,7816"
18.02.2020,R01035,1,"82,5796","82,5796"
19.02.2020,R01035,1,"82,7987","82,7987"
20.02.2020,R01035,1,"82,8827","82,8827"
21.02.2020,R01035,1,"82,2263","82,2263"
22.02.2020,R01035,1,"82,9866","82,9866"
26.02.2020,R01035,1,"84,1250","84,125"
27.02.2020,R01035,1,"85,0682","85,0682"
28.02.2020,R01035,1,"84,8990","84,899"
29.02.2020,R01035,1,"86,2307","86,2307"
03.03.2020,R01035,1,"84,8195","84,8195"
04.03.2020,R01035,1,"84,9217","84,9217"
05.03.2020,R01035,1,"84,5011","84,5011"
06.03.2020,R01035,1,"85,3990","85,399"
07.03.2020,R01035,1,"87,5972","87,5972"
11.03.2020,R01035,1,"94,0520","94,052"
12.03.2020,R01035,1,"92,5277","92,5277"
13.03.2020,R01035,1,"94,7329","94,7329"
14.03.2020,R01035,1,"92,2684","92,2684"
17.03.2020,R01035,1,"91,7015","91,7015"
18.03.2020,R01035,1,"90,2192","90,2192"
19.03.2020,R01035,1,"93,0263","93,0263"
20.03.2020,R01035,1,"92,4851","92,4851"
21.03.2020,R01035,1,"92,4981","92,4981"
24.03.2020,R01035,1,"93,9600","93,96"
25.03.2020,R01035,1,"91,8200","91,82"
26.03.2020,R01035,1,"92,2778","92,2778"
27.03.2020,R01035,1,"93,8291","93,8291"
28.03.2020,R01035,1,"94,5771","94,5771"
07.04.2020,R01035,1,"93,9429","93,9429"
08.04.2020,R01035,1,"93,0662","93,0662"
09.04.2020,R01035,1,"93,2330","93,233"
10.04.2020,R01035,1,"92,5177","92,5177"
11.04.2020,R01035,1,"91,9607","91,9607"
14.04.2020,R01035,1,"91,9277","91,9277"
15.04.2020,R01035,1,"92,1203","92,1203"
16.04.2020,R01035,1,"92,2684","92,2684"
17.04.2020,R01035,1,"93,3301","93,3301"
18.04.2020,R01035,1,"92,0456","92,0456"
21.04.2020,R01035,1,"92,8916","92,8916"
22.04.2020,R01035,1,"94,4891","94,4891"
23.04.2020,R01035,1,"94,8998","94,8998"
24.04.2020,R01035,1,"92,7092","92,7092"
25.04.2020,R01035,1,"91,9309","91,9309"
28.04.2020,R01035,1,"92,5613","92,5613"
29.04.2020,R01035,1,"92,9746","92,9746"
30.04.2020,R01035,1,"91,7359","91,7359"
01.05.2020,R01035,1,"90,6679","90,6679"
07.05.2020,R01035,1,"91,5402","91,5402"
08.05.2020,R01035,1,"91,6455","91,6455"
09.05.2020,R01035,1,"91,5059","91,5059"
13.05.2020,R01035,1,"90,5571","90,5571"
14.05.2020,R01035,1,"90,3144","90,3144"
15.05.2020,R01035,1,"90,2683","90,2683"
16.05.2020,R01035,1,"89,3840","89,384"
19.05.2020,R01035,1,"88,4296","88,4296"
20.05.2020,R01035,1,"88,5352","88,5352"
21.05.2020,R01035,1,"88,5057","88,5057"
22.05.2020,R01035,1,"86,5556","86,5556"
23.05.2020,R01035,1,"87,5216","87,5216"
26.05.2020,R01035,1,"87,1326","87,1326"
27.05.2020,R01035,1,"87,2400","87,24"
28.05.2020,R01035,1,"87,4650","87,465"
29.05.2020,R01035,1,"87,0919","87,0919"
30.05.2020,R01035,1,"87,0603","87,0603"
02.06.2020,R01035,1,"86,4561","86,4561"
03.06.2020,R01035,1,"86,4289","86,4289"
04.06.2020,R01035,1,"86,0007","86,0007"
05.06.2020,R01035,1,"86,3379","86,3379"
06.06.2020,R01035,1,"86,8468","86,8468"
09.06.2020,R01035,1,"86,6883","86,6883"
10.06.2020,R01035,1,"86,9007","86,9007"
11.06.2020,R01035,1,"87,6462","87,6462"
12.06.2020,R01035,1,"87,6673","87,6673"
16.06.2020,R01035,1,"88,2613","88,2613"
17.06.2020,R01035,1,"88,0624","88,0624"
